productId,name,brand,sport,category,subcategory,ageGroup,experienceLevel,price,priceRange,stockQuantity,rating,reviewCount,description,benefits,tags,images,sizes,colors,active,featured
SP011,FlexMove Track Pants,EaseActive,Walking|Fitness|Yoga,Apparel,Track Pants,45+,All Levels,44.99,Medium,88,4.5,267,"Stretch track pants with elastic waistband, zip pockets, and tapered but non-restrictive fit.",Stretch comfort|Secure storage|Easy movement,track-pants|stretch|zip-pockets,https://example.com/images/sp011-1.jpg,S|M|L|XL|XXL,Black|Charcoal|Navy,True,True
SP012,AquaComfort Swim Goggles,BlueCurrent,Swimming,Accessories,Swim Goggles,45+,Beginner|Intermediate,27.99,Low,76,4.4,201,Soft-seal anti-fog goggles with adjustable straps and wide field of view.,Clear vision|Comfort seal|UV protection,swimming|anti-fog|soft-seal,https://example.com/images/sp012-1.jpg,Adjustable,Blue|Smoke|Clear,True,False
SP013,EasyEntry Swim Shoes,BlueCurrent,Swimming|Water Aerobics,Footwear,Water Shoes,45+,All Levels,36.99,Low,69,4.3,165,Quick-dry water shoes with wide opening and textured sole for pool decks and water activities.,Slip resistance|Quick drying|Easy wear,water-shoes|pool|quick-dry,https://example.com/images/sp013-1.jpg,6|7|8|9|10|11,Navy|Black|Aqua,True,False
SP014,CoreBalance Stability Ball 65cm,CalmCore,Pilates|Fitness|Physiotherapy,Equipment,Stability Ball,45+,Beginner|Intermediate,39.99,Low,48,4.5,318,"Anti-burst stability ball for balance drills, core exercises, stretching, and seated mobility work.",Core strength|Balance|Posture,stability-ball|core|mobility,https://example.com/images/sp014-1.jpg,65cm,Blue|Grey,True,False
SP015,Adjustable Ankle Weights 2kg,MoveMore,Walking|Strength Training|Fitness,Equipment,Ankle Weights,45+,Intermediate,31.99,Low,56,4.2,137,Soft adjustable ankle weights for controlled strength progression during walking and home workouts.,Leg strength|Progressive load|Secure fit,ankle-weights|strength|adjustable,https://example.com/images/sp015-1.jpg,2kg Pair,Black|Grey,True,False
SP016,Nordic Walk Poles,TrailEase,Walking|Hiking,Equipment,Walking Poles,45+,Beginner|Intermediate,54.99,Medium,44,4.6,355,Lightweight telescopic poles with ergonomic cork grips and shock-absorbing tips.,Balance|Upper-body engagement|Reduced joint load,walking-poles|hiking|telescopic,https://example.com/images/sp016-1.jpg|https://example.com/images/sp016-2.jpg,Adjustable 65-135cm,Black|Blue,True,True
SP017,TrailLite Daypack 18L,TrailEase,Walking|Hiking|Cycling,Accessories,Backpack,All Adults,All Levels,49.99,Medium,61,4.5,299,"Lightweight daypack with ventilated back panel, bottle pockets, and adjustable chest strap.",Comfort carry|Organized storage|Ventilation,daypack|hiking|18l,https://example.com/images/sp017-1.jpg,18L,Olive|Black|Blue,True,False
SP018,Reflective Safety Vest,SafeMotion,Walking|Cycling|Running,Safety Gear,Visibility Vest,45+,All Levels,18.99,Low,155,4.6,476,High-visibility reflective vest with adjustable side straps for early-morning and evening activity.,Visibility|Lightweight safety|Adjustable fit,reflective|safety|outdoor,https://example.com/images/sp018-1.jpg,M|L|XL,Neon Yellow|Neon Orange,True,True
SP019,ComfortRide Cycling Gloves,CycleEase,Cycling,Accessories,Cycling Gloves,45+,Beginner|Intermediate,26.99,Low,73,4.3,188,Padded half-finger gloves with easy-pull tabs and breathable mesh back.,Palm cushioning|Grip|Reduced vibration,cycling-gloves|padded|breathable,https://example.com/images/sp019-1.jpg,S|M|L|XL,Black|Blue,True,False
SP020,Upright Comfort Bike Helmet,CycleEase,Cycling,Safety Gear,Helmet,45+,All Levels,69.99,Medium,47,4.7,391,Ventilated cycling helmet with dial-fit adjustment and extended rear coverage.,Head protection|Secure fit|Ventilation,helmet|cycling|safety,https://example.com/images/sp020-1.jpg,M|L,White|Black|Blue,True,True
SP021,Pickleball Starter Paddle Set,CourtJoy,Pickleball,Equipment,Paddle Set,45+,Beginner,64.99,Medium,58,4.6,214,"Two lightweight paddles, four balls, and carry bag for social and recreational play.",Easy control|Social exercise|Complete starter kit,pickleball|starter-set|social-sport,https://example.com/images/sp021-1.jpg,Standard,Blue|Orange,True,True
SP022,SoftTouch Pickleball Balls 6-Pack,CourtJoy,Pickleball,Equipment,Balls,45+,All Levels,21.99,Low,110,4.4,121,Durable outdoor pickleballs engineered for consistent bounce and moderate play speed.,Consistent bounce|Durability|Visible color,pickleball-balls|outdoor|6-pack,https://example.com/images/sp022-1.jpg,40-hole,Yellow|Orange,True,False
SP023,SeniorFlex Golf Glove,GreenLine,Golf,Accessories,Golf Glove,45+,Beginner|Intermediate,23.99,Low,82,4.3,146,Soft synthetic-leather glove with stretch panels and easy-close tab.,Grip|Flexibility|Comfort,golf|glove|flexible,https://example.com/images/sp023-1.jpg,S|M|ML|L|XL,White|Black,True,False
SP024,EasySwing 7-Iron Trainer,GreenLine,Golf,Equipment,Training Club,45+,Beginner,89.99,Medium,29,4.2,94,Weighted training iron designed to encourage a smoother tempo and controlled practice swing.,Swing rhythm|Control|Strength,golf|training-club|tempo,https://example.com/images/sp024-1.jpg,Right Hand|Left Hand,Silver|Black,True,False
SP025,Recovery Foam Roller Soft Density,RecoverRight,Fitness|Yoga|Physiotherapy,Recovery,Foam Roller,45+,All Levels,28.99,Low,132,4.7,689,Soft-density textured roller suited to gentle muscle release and post-workout recovery.,Muscle recovery|Flexibility|Reduced stiffness,foam-roller|recovery|soft-density,https://example.com/images/sp025-1.jpg,45cm,Blue|Grey|Purple,True,True
SP026,Hot-Cold Reusable Therapy Pack,RecoverRight,Fitness|Physiotherapy,Recovery,Therapy Pack,45+,All Levels,16.99,Low,175,4.5,534,Flexible reusable pack for warm-up comfort or cold recovery after activity.,Heat therapy|Cold therapy|Reusable,therapy-pack|recovery|hot-cold,https://example.com/images/sp026-1.jpg,Large,Blue,True,False
SP027,Digital Hand Grip Trainer,MoveMore,Strength Training|Physiotherapy,Equipment,Grip Trainer,45+,Beginner|Intermediate,22.99,Low,90,4.4,247,Adjustable hand gripper with repetition counter for gradual grip-strength training.,Grip strength|Hand mobility|Progress tracking,grip-trainer|hands|adjustable,https://example.com/images/sp027-1.jpg,5-60kg,Black|Orange,True,False
SP028,Tai Chi Practice Shoes,CalmStep,Tai Chi|Indoor Fitness,Footwear,Practice Shoes,45+,Beginner|Intermediate,48.99,Medium,38,4.6,172,Flexible flat-soled shoes with roomy forefoot for controlled balance and slow movement practice.,Ground feel|Balance|Flexible movement,tai-chi|flat-sole|balance,https://example.com/images/sp028-1.jpg,6|7|8|9|10|11,Black|White,True,True
SP029,Breathable Sun Cap UPF 50,TrailEase,Walking|Hiking|Golf|Cycling,Accessories,Sports Cap,45+,All Levels,25.99,Low,126,4.5,366,Lightweight quick-dry cap with UPF 50 fabric and adjustable rear closure.,Sun protection|Breathability|Adjustable fit,cap|upf50|outdoor,https://example.com/images/sp029-1.jpg,Adjustable,Beige|Navy|Grey,True,False
SP030,Polarized Sports Sunglasses,SafeMotion,Walking|Cycling|Golf|Hiking,Accessories,Sports Sunglasses,45+,All Levels,42.99,Medium,67,4.4,281,Wraparound polarized lenses with lightweight frame and non-slip nose pads.,Glare reduction|UV protection|Secure fit,sunglasses|polarized|uv400,https://example.com/images/sp030-1.jpg,Standard,Black|Grey,True,False
SP031,WideFit Tennis Shoes,CourtJoy,Tennis|Pickleball,Footwear,Court Shoes,45+,Beginner|Intermediate,89.99,Medium,45,4.5,209,Wide-fit court shoes with reinforced sides and cushioned midsole for recreational racquet sports.,Lateral support|Cushioning|Wide fit,tennis|pickleball|wide-fit,https://example.com/images/sp031-1.jpg,6|7|8|9|10|11,White|Navy,True,True
SP032,Lightweight Tennis Racket 260g,CourtJoy,Tennis,Equipment,Racket,45+,Beginner,74.99,Medium,34,4.4,126,Lightweight oversized racket that offers easier swing speed and a forgiving sweet spot.,Easy swing|Power assistance|Forgiveness,tennis|lightweight|oversized,https://example.com/images/sp032-1.jpg,Grip 2|Grip 3,Black|Green,True,False
SP033,Anti-Slip Exercise Socks 3-Pack,EaseActive,Yoga|Pilates|Fitness,Apparel,Grip Socks,45+,All Levels,17.99,Low,190,4.6,448,Breathable ankle socks with silicone grip zones for mat and studio workouts.,Slip resistance|Comfort|Hygiene,grip-socks|studio|3-pack,https://example.com/images/sp033-1.jpg,S-M|L-XL,Black|Grey|Pastel Mix,True,False
SP034,Large Display Sports Watch,PulsePath,Walking|Swimming|Fitness,Wearables,Sports Watch,45+,All Levels,54.99,Medium,59,4.3,319,"Water-resistant digital watch with large numerals, stopwatch, alarm, and backlight.",Easy readability|Time tracking|Water resistance,sports-watch|large-display|water-resistant,https://example.com/images/sp034-1.jpg,Adjustable,Black|Blue,True,False
SP035,Foldable Walking Treadmill,HomeStride,Walking|Fitness,Equipment,Treadmill,45+,Beginner|Intermediate,499.99,High,12,4.5,87,"Compact foldable treadmill with handrail, speed controls, safety key, and shock-absorbing deck.",Indoor walking|Controlled pace|Joint-friendly deck,treadmill|foldable|home-fitness,https://example.com/images/sp035-1.jpg|https://example.com/images/sp035-2.jpg,Standard,Black,True,True
SP036,Adjustable Dumbbell Pair 2-10kg,MoveMore,Strength Training|Fitness,Equipment,Dumbbells,45+,Intermediate|Advanced,149.99,High,24,4.6,153,Space-saving adjustable dumbbell pair for progressive home strength training.,Progressive strength|Space saving|Full-body workouts,dumbbells|adjustable|home-gym,https://example.com/images/sp036-1.jpg,2-10kg Each,Black|Red,True,True
